BIC,Name
BYLADEM1FFB,Sparkasse Fürstenfeldbruck
BYLADEM1FIG,Sparkasse Hochfranken -alt-
BYLADEM1FOR,Sparkasse Forchheim
BYLADEM1FRG,Sparkasse Freyung-Grafenau
BYLADEM1FSI,Sparkasse Freising
BYLADEM1GAP,Kreissparkasse Garmisch-Partenkirchen
BYLADEM1GUN,Vereinigte Sparkassen Gunzenhausen
BYLADEM1GZK,Sparkasse Günzburg-Krumbach
BYLADEM1HAS,Sparkasse Ostunterfranken -alt-
BYLADEM1HOF,Sparkasse Hochfranken
BYLADEM1HOS,Kreissparkasse Höchstadt
BYLADEM1ING,Sparkasse Ingolstadt Eichstätt
BYLADEM1KEH,Kreissparkasse Kelheim
BYLADEM1KFB,Kreis- und Stadtsparkasse Kaufbeuren
BYLADEM1KIS,Sparkasse Bad Kissingen
BYLADEM1KMS,Kreissparkasse München Starnberg Ebersberg
BYLADEM1KSW,Sparkasse Schweinfurt-Haßberge
BYLADEM1KUB,Sparkasse Kulmbach-Kronach
BYLADEM1LAH,Sparkasse Landshut
BYLADEM1LLD,Sparkasse Landsberg-Dießen
BYLADEM1MDF,Sparkasse Altötting-Mühldorf
BYLADEM1MIB,Kreissparkasse Miesbach-Tegernsee
BYLADEM1MIL,Sparkasse Miltenberg-Obernburg
BYLADEM1MLM,Sparkasse Memmingen-Lindau-Mindelheim
BYLADEM1MSB,Stadt- und Kreissparkasse Moosburg
BYLADEM1NEA,Sparkasse im Landkreis Neustadt a.d. Aisch - Bad Windsheim
BYLADEM1NEB,Sparkasse Neuburg-Rain
BYLADEM1NES,Sparkasse Bad Neustadt a d Saale
BYLADEM1NLG,Sparkasse Nördlingen -alt-
BYLADEM1NMA,Sparkasse Neumarkt i d OPf-Parsberg
BYLADEM1NUL,Sparkasse Neu-Ulm-Illertissen
BYLADEM1PAF,Sparkasse Pfaffenhofen
BYLADEM1PAS,Sparkasse Passau
BYLADEM1RBG,Sparkasse Regensburg
BYLADEM1REG,Sparkasse Regen-Viechtach
BYLADEM1ROS,Sparkasse Rosenheim-Bad Aibling
BYLADEM1ROT,Stadt- und Kreissparkasse Rothenburg -alt-
BYLADEM1SAD,Sparkasse im Landkreis Schwandorf
BYLADEM1SBT,Sparkasse Bayreuth
BYLADEM1SFU,Sparkasse Fürth
BYLADEM1SKB,Sparkasse Bamberg
BYLADEM1SOG,Kreissparkasse Schongau -alt-
BYLADEM1SRG,Sparkasse Niederbayern-Mitte
BYLADEM1SRS,Sparkasse Mittelfranken-Süd
BYLADEM1SSH,Sparkasse Aichach-Schrobenhausen -alt-
BYLADEM1SSW,Städtische Sparkasse Schweinfurt -alt-
BYLADEM1SWU,Sparkasse Mainfranken Würzburg
BYLADEM1TST,Kreissparkasse Traunstein-Trostberg
BYLADEM1WEN,Sparkasse Oberpfalz Nord
BYLADEM1WHM,Sparkasse Oberland
BYLADEM1WOR,Sparkasse Bad Tölz-Wolfratshausen
BYLADEM1WSB,Kreis- und Stadtsparkasse Wasserburg
BYLADEMMXXX,Bayerische Landesbank
CAGBDEF1CMI,ReiseBank Gf4 vormals Cash Express
CAGBDEF1XXX,ReiseBank Gf3 vormals Cash Express
CAIXDEFFXXX,CAIXABANK Zweigniederlassung Deutschland
CBSRDE71XXX,CB Bank
CHASDEFXVR1,"J.P. Morgan, Internal Reference"
CHASDEFXXXX,J.P. Morgan
CHDBDEHHXXX,DONNER & REUSCHEL
CHEKDE81GLA,Sparkasse Chemnitz
CHEKDE81HOT,Sparkasse Chemnitz
CHEKDE81LIM,Sparkasse Chemnitz
CHEKDE81LTS,Sparkasse Chemnitz
CHEKDE81MRN,Sparkasse Chemnitz
CHEKDE81OLW,Sparkasse Chemnitz
CHEKDE81XXX,Sparkasse Chemnitz
CITIDEFFXXX,Citibank Europe Germany Branch
CKVHDE21XXX,Calenberger Kreditverein
CLABDEM1XXX,"UniCredit Family Financing Bank, Ndl der UniCredit"
CMCIDEDDXXX,TARGOBANK
CMCIDEF1XXX,Credit Mutuel - BECM - Ndl Deutschland
COBADEBB120,Commerzbank Filiale Berlin 2
COBADEBBXXX,"Commerzbank, Filiale Berlin 1"
COBADEDDXXX,Commerzbank
COBADEDHXXX,Commerzbank Zw 117
COBADEF1BRS,Commerzbank Gf BRS
COBADEFFDSB,Deutsche Schiffsbank
COBADEFFXXX,"Commerzbank, CC SP"
COBADEHD001,comdirect bank
COBADEHD044,comdirect bank
COBADEHD055,comdirect bank
COBADEHD066,comdirect bank
COBADEHD077,comdirect bank
COBADEHD088,comdirect bank
COBADEHD099,comdirect bank
COBADEHDXXX,comdirect bank
COBADEHHXXX,Commerzbank
COKSDE33XXX,Kreissparkasse Köln
COLSDE33BON,Sparkasse Bonn -alt-
COLSDE33XXX,Sparkasse KölnBonn
COMMDEFFXXX,Bank of Communications Frankfurt branch
CPLADE55XXX,TARGOBANK Gf FG
CPLUDES1666,CreditPlus Bank
CPLUDES1XXX,CreditPlus Bank
CRESDE55XXX,Credit Suisse (Deutschland)
CSDBDE71XXX,BNP Paribas Niederlassung Deutschland
CSHHDE71XXX,IC Cash Services
CUABDED1XXX,Bank11direkt
DAAEDED1002,apoBank
DAAEDED1003,apoBank
DAAEDED1004,apoBank
DAAEDED1005,apoBank
DAAEDED1006,apoBank
DAAEDED1007,apoBank
DAAEDED1008,apoBank
DAAEDED1009,apoBank
DAAEDED1010,apoBank
DAAEDED1011,apoBank
DAAEDED1012,apoBank
DAAEDED1013,apoBank
DAAEDED1014,apoBank
DAAEDED1015,apoBank
DAAEDED1016,apoBank
DAAEDED1017,apoBank
DAAEDED1018,apoBank
DAAEDED1019,apoBank
DAAEDED1020,apoBank
DAAEDED1021,apoBank
DAAEDED1022,apoBank
DAAEDED1023,apoBank
DAAEDED1024,apoBank
DAAEDED1025,apoBank
DAAEDED1026,apoBank
DAAEDED1027,apoBank
DAAEDED1028,apoBank
DAAEDED1029,apoBank
DAAEDED1030,apoBank
DAAEDED1031,apoBank
DAAEDED1032,apoBank
DAAEDED1033,apoBank
DAAEDED1034,apoBank
DAAEDED1035,apoBank
DAAEDED1036,apoBank
DAAEDED1037,apoBank
DAAEDED1040,apoBank
DAAEDED1041,apoBank
DAAEDED1042,apoBank
DAAEDED1043,apoBank
DAAEDED1044,apoBank
DAAEDED1045,apoBank
DAAEDED1046,apoBank
DAAEDED1048,apoBank
DAAEDED1049,apoBank
DAAEDEDDXXX,apoBank
DABADEHHXXX,Danske Bank
DABBDEMMXXX,BNP Paribas Niederlassung Deutschland
DEBKDE51XXX,Debeka Bausparkasse
DEGUDEFFXXX,Degussa Bank
DEHYDE2HXXX,Deutsche Hypothekenbank
DEKTDE7GXXX,Deutsche Handelsbank
DELBDE33XXX,Bethmann Bank
DEPDDEMMXXX,VZ Depotbank Deutschland
DEUTDE2H240,Deutsche Bank
DEUTDE2H241,Deutsche Bank
DEUTDE2H250,Deutsche Bank
DEUTDE2H251,Deutsche Bank
DEUTDE2H252,Deutsche Bank
DEUTDE2H253,Deutsche Bank
DEUTDE2H254,Deutsche Bank
DEUTDE2H256,Deutsche Bank
GENODED1NWD,VR-Bank Neuwied-Linz
DEUTDE2H257,Deutsche Bank
DEUTDE2H258,Deutsche Bank
DEUTDE2H259,Deutsche Bank
DEUTDE2H260,Deutsche Bank
DEUTDE2H261,Deutsche Bank
DEUTDE2H262,Deutsche Bank
DEUTDE2H263,Deutsche Bank
DEUTDE2H264,Deutsche Bank
DEUTDE2H265,Deutsche Bank
DEUTDE2H268,Deutsche Bank
DEUTDE2H269,Deutsche Bank
DEUTDE2H270,Deutsche Bank
DEUTDE2H271,Deutsche Bank
DEUTDE2H272,Deutsche Bank
DEUTDE2H273,Deutsche Bank
DEUTDE2H274,Deutsche Bank
DEUTDE2H275,Deutsche Bank
DEUTDE2H276,Deutsche Bank
DEUTDE2H277,Deutsche Bank
DEUTDE2H278,Deutsche Bank
DEUTDE2H279,Deutsche Bank
DEUTDE2H280,Deutsche Bank
DEUTDE2H281,Deutsche Bank
DEUTDE2H282,Deutsche Bank
DEUTDE2H283,Deutsche Bank
DEUTDE2H284,Deutsche Bank
DEUTDE2H285,Deutsche Bank
DEUTDE2HXXX,Deutsche Bank
DEUTDE3B265,Deutsche Bank
DEUTDE3B266,Deutsche Bank
DEUTDE3B267,Deutsche Bank
DEUTDE3B268,Deutsche Bank
DEUTDE3B269,Deutsche Bank
DEUTDE3B270,Deutsche Bank
DEUTDE3B271,Deutsche Bank
DEUTDE3B272,Deutsche Bank
DEUTDE3B273,Deutsche Bank
DEUTDE3B274,Deutsche Bank
DEUTDE3B275,Deutsche Bank
DEUTDE3B400,Deutsche Bank
DEUTDE3B401,Deutsche Bank
DEUTDE3B403,Deutsche Bank
DEUTDE3B404,Deutsche Bank
DEUTDE3B405,Deutsche Bank
DEUTDE3B406,Deutsche Bank
DEUTDE3B407,Deutsche Bank
DEUTDE3B408,Deutsche Bank
DEUTDE3B409,Deutsche Bank
DEUTDE3B413,Deutsche Bank
DEUTDE3B414,Deutsche Bank
DEUTDE3B416,Deutsche Bank
DEUTDE3B417,Deutsche Bank
DEUTDE3B418,Deutsche Bank
DEUTDE3B428,Deutsche Bank
DEUTDE3B429,Deutsche Bank
DEUTDE3B440,Deutsche Bank
DEUTDE3B441,Deutsche Bank
DEUTDE3B442,Deutsche Bank
DEUTDE3B443,Deutsche Bank
DEUTDE3B450,Deutsche Bank
DEUTDE3B451,Deutsche Bank
DEUTDE3B452,Deutsche Bank
DEUTDE3B453,Deutsche Bank
DEUTDE3B472,Deutsche Bank
DEUTDE3B473,Deutsche Bank
DEUTDE3B474,Deutsche Bank
DEUTDE3B475,Deutsche Bank
DEUTDE3B476,Deutsche Bank
DEUTDE3B477,Deutsche Bank
DEUTDE3B478,Deutsche Bank
DEUTDE3B480,Deutsche Bank
DEUTDE3B481,Deutsche Bank
DEUTDE3B483,Deutsche Bank
DEUTDE3B484,Deutsche Bank
DEUTDE3B486,Deutsche Bank
DEUTDE3B487,Deutsche Bank
DEUTDE3B489,Deutsche Bank
DEUTDE3B490,Deutsche Bank
DEUTDE3B491,Deutsche Bank
DEUTDE3B492,Deutsche Bank
DEUTDE3B493,Deutsche Bank
DEUTDE3B494,Deutsche Bank
DEUTDE3B495,Deutsche Bank
DEUTDE3BXXX,Deutsche Bank
DEUTDE5M550,Deutsche Bank
DEUTDE5M551,Deutsche Bank
DEUTDE5M552,Deutsche Bank
DEUTDE5M555,Deutsche Bank Saarbruecken
DEUTDE5M560,Deutsche Bank
DEUTDE5M562,Deutsche Bank
DEUTDE5M570,Deutsche Bank
DEUTDE5M571,Deutsche Bank
DEUTDE5M572,Deutsche Bank
DEUTDE5M573,Deutsche Bank
DEUTDE5M574,Deutsche Bank
DEUTDE5M575,Deutsche Bank
DEUTDE5M576,Deutsche Bank
DEUTDE5M577,Deutsche Bank
DEUTDE5M578,Deutsche Bank
DEUTDE5M579,Deutsche Bank
DEUTDE5M585,Deutsche Bank
DEUTDE5M586,Deutsche Bank
DEUTDE5M587,Deutsche Bank
DEUTDE5M588,Deutsche Bank
DEUTDE5M589,Deutsche Bank
DEUTDE5M590,Deutsche Bank
DEUTDE5MXXX,Deutsche Bank
DEUTDE5XXXX,Deutsche Bank Europe
DEUTDE6F642,Deutsche Bank
DEUTDE6F644,Deutsche Bank
DEUTDE6F664,Deutsche Bank
DEUTDE6F665,Deutsche Bank
DEUTDE6F666,Deutsche Bank
DEUTDE6F667,Deutsche Bank
DEUTDE6F678,Deutsche Bank
DEUTDE6F679,Deutsche Bank
DEUTDE6F681,Deutsche Bank
DEUTDE6F682,Deutsche Bank
DEUTDE6F683,Deutsche Bank
DEUTDE6F684,Deutsche Bank
DEUTDE6F685,Deutsche Bank
DEUTDE6F686,Deutsche Bank
DEUTDE6F687,Deutsche Bank
DEUTDE6F688,Deutsche Bank
DEUTDE6F689,Deutsche Bank
DEUTDE6F690,Deutsche Bank
DEUTDE6F691,Deutsche Bank
DEUTDE6F692,Deutsche Bank
DEUTDE6F693,Deutsche Bank
DEUTDE6F694,Deutsche Bank Villingen u Schwenningen
DEUTDE6F696,Deutsche Bank
DEUTDE6F697,Deutsche Bank
DEUTDE6F698,Deutsche Bank
DEUTDE6F699,Deutsche Bank
DEUTDE6FXXX,Deutsche Bank
DEUTDE8C870,Deutsche Bank
DEUTDE8C871,Deutsche Bank
DEUTDE8C872,Deutsche Bank
DEUTDE8C873,Deutsche Bank
DEUTDE8C874,Deutsche Bank
DEUTDE8C875,Deutsche Bank
DEUTDE8C876,Deutsche Bank
DEUTDE8C877,Deutsche Bank
DEUTDE8C878,Deutsche Bank
DEUTDE8C879,Deutsche Bank
DEUTDE8C880,Deutsche Bank
DEUTDE8C881,Deutsche Bank
DEUTDE8C882,Deutsche Bank
DEUTDE8C883,Deutsche Bank
DEUTDE8C884,Deutsche Bank
DEUTDE8C885,Deutsche Bank
DEUTDE8C886,Deutsche Bank
DEUTDE8C887,Deutsche Bank
DEUTDE8C888,Deutsche Bank
DEUTDE8C889,Deutsche Bank
DEUTDE8C890,Deutsche Bank
DEUTDE8C891,Deutsche Bank
DEUTDE8C892,Deutsche Bank
DEUTDE8C893,Deutsche Bank
DEUTDE8C894,Deutsche Bank
DEUTDE8C895,Deutsche Bank
DEUTDE8C896,Deutsche Bank
DEUTDE8C897,Deutsche Bank
DEUTDE8C898,Deutsche Bank
DEUTDE8C899,Deutsche Bank
DEUTDE8C900,Deutsche Bank
DEUTDE8C901,Deutsche Bank
DEUTDE8C902,Deutsche Bank
DEUTDE8C903,Deutsche Bank
DEUTDE8C905,Deutsche Bank
DEUTDE8C906,Deutsche Bank
DEUTDE8C907,Deutsche Bank
DEUTDE8C908,Deutsche Bank
DEUTDE8C909,Deutsche Bank
DEUTDE8C910,Deutsche Bank
DEUTDE8CXXX,Deutsche Bank
DEUTDE8E820,Deutsche Bank
DEUTDE8E822,Deutsche Bank
DEUTDE8E823,Deutsche Bank
DEUTDE8E824,Deutsche Bank
DEUTDE8E825,Deutsche Bank
DEUTDE8E826,Deutsche Bank
DEUTDE8E827,Deutsche Bank
DEUTDE8E828,Deutsche Bank
DEUTDE8E829,Deutsche Bank
DEUTDE8E830,Deutsche Bank
DEUTDE8E831,Deutsche Bank
DEUTDE8E832,Deutsche Bank
DEUTDE8E833,Deutsche Bank
DEUTDE8E835,Deutsche Bank
DEUTDE8E836,Deutsche Bank
DEUTDE8E840,Deutsche Bank
DEUTDE8E841,Deutsche Bank
DEUTDE8E842,Deutsche Bank
DEUTDE8E843,Deutsche Bank
DEUTDE8E844,Deutsche Bank
DEUTDE8E845,Deutsche Bank
DEUTDE8E846,Deutsche Bank
DEUTDE8E847,Deutsche Bank
DEUTDE8E848,Deutsche Bank
DEUTDE8E849,Deutsche Bank
DEUTDE8E850,Deutsche Bank
DEUTDE8E851,Deutsche Bank
DEUTDE8EXXX,Deutsche Bank
DEUTDE8L860,Deutsche Bank
DEUTDE8L861,Deutsche Bank
DEUTDE8L862,Deutsche Bank
DEUTDE8L863,Deutsche Bank
DEUTDE8L864,Deutsche Bank
DEUTDE8L865,Deutsche Bank
DEUTDE8L866,Deutsche Bank
DEUTDE8L867,Deutsche Bank
DEUTDE8L868,Deutsche Bank
DEUTDE8L869,Deutsche Bank
DEUTDE8L870,Deutsche Bank
DEUTDE8L871,Deutsche Bank
DEUTDE8L872,Deutsche Bank
DEUTDE8L873,Deutsche Bank
DEUTDE8L874,Deutsche Bank
DEUTDE8L875,Deutsche Bank
DEUTDE8L877,Deutsche Bank
DEUTDE8L878,Deutsche Bank
DEUTDE8L879,Deutsche Bank
DEUTDE8L880,Deutsche Bank
DEUTDE8L881,Deutsche Bank
DEUTDE8L882,Deutsche Bank
DEUTDE8L883,Deutsche Bank
DEUTDE8L884,Deutsche Bank
DEUTDE8L885,Deutsche Bank
DEUTDE8L887,Deutsche Bank
DEUTDE8L888,Deutsche Bank
DEUTDE8LXXX,Deutsche Bank
DEUTDE8M811,Deutsche Bank
DEUTDE8M812,Deutsche Bank
DEUTDE8M814,Deutsche Bank
DEUTDE8M815,Deutsche Bank
DEUTDE8M816,Deutsche Bank
DEUTDE8M817,Deutsche Bank
DEUTDE8M818,Deutsche Bank
DEUTDE8M819,Deutsche Bank
DEUTDE8M820,Deutsche Bank
DEUTDE8M821,Deutsche Bank
DEUTDE8M822,Deutsche Bank
DEUTDE8M823,Deutsche Bank
DEUTDE8M825,Deutsche Bank
DEUTDE8MXXX,Deutsche Bank
DEUTDEBB101,Deutsche Bank Fil Berlin II
DEUTDEBB120,Deutsche Bank
DEUTDEBB121,Deutsche Bank
DEUTDEBB122,Deutsche Bank
DEUTDEBB123,Deutsche Bank
DEUTDEBB124,Deutsche Bank
DEUTDEBB125,Deutsche Bank
DEUTDEBB126,Deutsche Bank
DEUTDEBB127,Deutsche Bank
DEUTDEBB130,Deutsche Bank
DEUTDEBB131,Deutsche Bank
DEUTDEBB132,Deutsche Bank
DEUTDEBB140,Deutsche Bank
DEUTDEBB141,Deutsche Bank
DEUTDEBB142,Deutsche Bank
DEUTDEBB143,Deutsche Bank
DEUTDEBB144,Deutsche Bank
DEUTDEBB145,Deutsche Bank
DEUTDEBB146,Deutsche Bank
DEUTDEBB147,Deutsche Bank
DEUTDEBB148,Deutsche Bank
DEUTDEBB149,Deutsche Bank
DEUTDEBB150,Deutsche Bank
DEUTDEBB151,Deutsche Bank
DEUTDEBB152,Deutsche Bank
DEUTDEBB153,Deutsche Bank
DEUTDEBB154,Deutsche Bank
DEUTDEBB155,Deutsche Bank
DEUTDEBB156,Deutsche Bank
DEUTDEBB157,Deutsche Bank
DEUTDEBB158,Deutsche Bank
DEUTDEBB159,Deutsche Bank
DEUTDEBB160,Deutsche Bank Ld Brandenburg
DEUTDEBB161,Deutsche Bank
DEUTDEBB162,Deutsche Bank
DEUTDEBB163,Deutsche Bank
DEUTDEBB164,Deutsche Bank
DEUTDEBB165,Deutsche Bank
DEUTDEBB166,Deutsche Bank
DEUTDEBB167,Deutsche Bank
DEUTDEBB168,Deutsche Bank
DEUTDEBB169,Deutsche Bank
DEUTDEBB170,Deutsche Bank
DEUTDEBB171,Deutsche Bank
DEUTDEBB172,Deutsche Bank
DEUTDEBB173,Deutsche Bank
DEUTDEBB174,Deutsche Bank
DEUTDEBB175,Deutsche Bank
DEUTDEBB176,Deutsche Bank
DEUTDEBB177,Deutsche Bank
DEUTDEBB178,Deutsche Bank
DEUTDEBB179,Deutsche Bank
